Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,Processes,Algorithm
262144,13.64,13.53,13.75,10000,2,binary tree
524288,26.39,26.25,26.53,10000,2,binary tree
1048576,57.02,56.98,57.06,10000,2,binary tree
1,2.34,0.34,3.63,10000,48,binary tree
2,2.51,0.46,3.82,10000,48,binary tree
4,2.58,0.46,3.83,10000,48,binary tree
8,2.36,0.36,3.63,10000,48,binary tree
16,2.31,0.34,3.5,10000,48,binary tree
32,2.7,0.45,4.14,10000,48,binary tree
64,2.94,0.5,4.5,10000,48,binary tree
128,3.81,0.78,5.75,10000,48,binary tree
256,4.02,0.81,6.13,10000,48,binary tree
512,4.27,0.81,6.61,10000,48,binary tree
1024,5.46,0.89,8.43,10000,48,binary tree
2048,6.95,1.12,11.13,10000,48,binary tree
4096,10.36,1.66,16.74,10000,48,binary tree
8192,15.96,2.22,26.35,10000,48,binary tree
16384,34.31,5.88,48.15,10000,48,binary tree
32768,56.25,9.22,80.85,10000,48,binary tree
65536,103.85,16.37,149.46,10000,48,binary tree
131072,211.99,28.24,287.96,10000,48,binary tree
262144,409.82,53.59,553.22,10000,48,binary tree
524288,825.17,105.74,1106.8,10000,48,binary tree
1048576,1532.94,223.83,2091.01,10000,48,binary tree
1,0.95,0.22,1.49,10000,16,basic linear
2,1.06,0.29,1.68,10000,16,basic linear
4,0.99,0.28,1.55,10000,16,basic linear
8,0.99,0.28,1.56,10000,16,basic linear
16,0.99,0.28,1.57,10000,16,basic linear
32,1.22,0.31,2.03,10000,16,basic linear
64,1.17,0.31,1.92,10000,16,basic linear
128,2.17,0.47,3.72,10000,16,basic linear
256,2.25,0.48,3.86,10000,16,basic linear
512,2.23,0.48,3.81,10000,16,basic linear
1024,3.26,0.7,5.62,10000,16,basic linear
2048,4.07,0.95,6.95,10000,16,basic linear
4096,6.07,1.26,10.54,10000,16,basic linear
8192,9.36,1.95,16.01,10000,16,basic linear
16384,13.2,4.2,18.28,10000,16,basic linear
32768,25.77,7.27,32.53,10000,16,basic linear
65536,52.13,24.44,60.31,10000,16,basic linear
131072,104.03,74.81,113.2,10000,16,basic linear
262144,209.94,180.3,220.65,10000,16,basic linear
524288,427.65,388.19,440.65,10000,16,basic linear
1048576,809.21,559.0,856.37,10000,16,basic linear
1,1.77,0.44,4.32,10000,30,chain
2,1.62,0.41,3.92,10000,30,chain
4,1.62,0.4,3.86,10000,30,chain
8,1.6,0.4,3.85,10000,30,chain
16,1.6,0.4,3.85,10000,30,chain
32,1.98,0.41,4.19,10000,30,chain
64,2.25,0.41,4.65,10000,30,chain
128,2.77,0.56,5.24,10000,30,chain
256,2.66,0.56,4.98,10000,30,chain
512,2.86,0.62,5.31,10000,30,chain
1024,3.61,0.8,6.58,10000,30,chain
2048,4.59,1.04,8.42,10000,30,chain
4096,7.1,1.98,12.36,10000,30,chain
8192,10.85,2.88,18.77,10000,30,chain
16384,27.93,10.99,40.4,10000,30,chain
32768,44.58,19.02,64.19,10000,30,chain
65536,78.13,35.4,111.31,10000,30,chain
131072,143.92,66.06,209.11,10000,30,chain
262144,277.75,129.71,404.83,10000,30,chain
524288,547.92,255.32,798.22,10000,30,chain
1048576,1062.96,492.44,1559.28,10000,30,chain
1,1.64,0.47,3.18,10000,26,chain
2,1.52,0.43,3.03,10000,26,chain
4,1.49,0.41,2.98,10000,26,chain
8,1.49,0.41,2.96,10000,26,chain
16,1.49,0.41,2.97,10000,26,chain
32,1.78,0.43,3.41,10000,26,chain
64,1.78,0.42,3.43,10000,26,chain
128,2.92,0.67,5.28,10000,26,chain
256,2.51,0.56,4.47,10000,26,chain
512,2.57,0.6,4.71,10000,26,chain
1024,3.24,0.84,5.84,10000,26,chain
2048,4.13,1.12,7.58,10000,26,chain
4096,6.33,2.08,11.04,10000,26,chain
8192,9.74,3.04,16.9,10000,26,chain
16384,25.18,10.9,35.7,10000,26,chain
32768,40.17,18.46,58.34,10000,26,chain
65536,70.33,34.36,102.08,10000,26,chain
131072,131.21,65.84,190.88,10000,26,chain
262144,260.4,131.87,399.21,10000,26,chain
524288,483.08,239.37,741.38,10000,26,chain
1048576,954.39,474.6,1461.16,10000,26,chain
1,2.28,0.53,3.22,10000,40,default
2,2.17,0.43,3.05,10000,40,default
4,2.31,0.52,3.23,10000,40,default
8,2.32,0.55,3.41,10000,40,default
16,2.32,0.53,3.4,10000,40,default
32,2.53,0.54,3.71,10000,40,default
64,2.44,0.51,3.51,10000,40,default
128,3.19,1.2,4.34,10000,40,default
256,3.32,1.26,4.52,10000,40,default
512,3.63,1.5,4.93,10000,40,default
1024,4.66,2.17,6.16,10000,40,default
2048,5.82,2.2,9.5,10000,40,default
4096,8.19,3.9,13.22,10000,40,default
8192,12.33,6.65,20.09,10000,40,default
16384,21.86,13.27,28.44,10000,40,default
32768,38.74,22.92,51.18,10000,40,default
65536,79.56,46.32,105.02,10000,40,default
131072,158.18,83.51,218.11,10000,40,default
262144,323.84,163.03,466.11,10000,40,default
524288,642.6,326.11,924.66,10000,40,default
1048576,1240.39,593.48,1779.39,10000,40,default
1,1.45,0.5,1.93,10000,18,basic linear
2,1.36,0.38,1.82,10000,18,basic linear
4,1.25,0.31,1.69,10000,18,basic linear
8,1.21,0.29,1.64,10000,18,basic linear
16,1.22,0.29,1.64,10000,18,basic linear
32,1.55,0.31,2.23,10000,18,basic linear
64,1.48,0.3,2.05,10000,18,basic linear
128,2.39,0.46,3.85,10000,18,basic linear
256,2.46,0.47,3.96,10000,18,basic linear
512,2.45,0.5,3.88,10000,18,basic linear
1024,3.82,1.13,6.35,10000,18,basic linear
2048,4.37,0.94,7.38,10000,18,basic linear
4096,6.69,1.52,11.35,10000,18,basic linear
8192,9.85,2.16,16.98,10000,18,basic linear
16384,15.53,4.26,21.15,10000,18,basic linear
32768,29.25,7.72,36.87,10000,18,basic linear
65536,59.17,28.56,68.46,10000,18,basic linear
131072,118.01,84.88,128.56,10000,18,basic linear
262144,238.52,202.19,251.78,10000,18,basic linear
524288,478.11,433.15,494.62,10000,18,basic linear
1048576,916.11,610.75,964.15,10000,18,basic linear
1,0.78,0.3,1.38,10000,14,chain
2,0.82,0.37,1.42,10000,14,chain
4,0.76,0.34,1.34,10000,14,chain
8,0.77,0.35,1.34,10000,14,chain
16,0.76,0.34,1.33,10000,14,chain
32,0.9,0.36,1.48,10000,14,chain
64,0.88,0.36,1.49,10000,14,chain
128,1.28,0.53,1.97,10000,14,chain
256,1.33,0.55,2.04,10000,14,chain
512,1.46,0.63,2.17,10000,14,chain
1024,1.87,0.8,2.69,10000,14,chain
2048,2.39,1.03,3.6,10000,14,chain
4096,3.61,1.57,5.44,10000,14,chain
8192,6.19,2.87,9.38,10000,14,chain
16384,14.43,7.84,18.47,10000,14,chain
32768,22.77,13.35,28.15,10000,14,chain
65536,39.68,23.65,49.75,10000,14,chain
131072,74.06,44.08,95.21,10000,14,chain
262144,142.47,85.37,183.62,10000,14,chain
524288,276.57,165.53,357.7,10000,14,chain
1048576,553.51,329.79,730.72,10000,14,chain
1,0.85,0.26,1.2,10000,12,binary tree
2,0.91,0.28,1.3,10000,12,binary tree
4,0.85,0.26,1.22,10000,12,binary tree
8,0.85,0.26,1.2,10000,12,binary tree
16,0.84,0.26,1.2,10000,12,binary tree
32,0.98,0.27,1.38,10000,12,binary tree
64,0.96,0.26,1.33,10000,12,binary tree
128,1.3,0.45,1.81,10000,12,binary tree
256,1.36,0.46,1.87,10000,12,binary tree
512,1.46,0.46,1.91,10000,12,binary tree
1024,1.9,0.58,2.54,10000,12,binary tree
2048,2.41,0.71,3.34,10000,12,binary tree
4096,3.57,0.99,5.09,10000,12,binary tree
8192,5.89,1.53,8.16,10000,12,binary tree
16384,14.12,5.49,16.28,10000,12,binary tree
32768,22.34,8.7,26.71,10000,12,binary tree
65536,38.74,15.11,46.82,10000,12,binary tree
131072,68.65,25.89,84.33,10000,12,binary tree
262144,128.01,49.4,154.52,10000,12,binary tree
524288,248.19,97.22,299.47,10000,12,binary tree
1048576,515.05,207.58,619.34,10000,12,binary tree
1,3.77,0.38,6.76,10000,48,basic linear
2,3.56,0.13,6.48,10000,48,basic linear
4,3.51,0.11,6.49,10000,48,basic linear
8,3.46,0.11,6.37,10000,48,basic linear
16,3.46,0.11,6.39,10000,48,basic linear
32,4.57,0.21,8.66,10000,48,basic linear
64,4.57,0.18,9.09,10000,48,basic linear
128,9.5,0.57,17.48,10000,48,basic linear
256,9.9,0.61,18.41,10000,48,basic linear
512,10.43,0.58,19.62,10000,48,basic linear
1024,14.91,0.79,27.92,10000,48,basic linear
2048,19.41,1.2,36.81,10000,48,basic linear
4096,27.76,1.62,54.05,10000,48,basic linear
8192,41.67,2.35,80.57,10000,48,basic linear
16384,30.52,6.9,48.51,10000,48,basic linear
32768,61.08,12.89,93.98,10000,48,basic linear
65536,135.8,48.11,185.66,10000,48,basic linear
131072,282.61,111.19,361.82,10000,48,basic linear
262144,449.01,238.73,598.56,10000,48,basic linear
524288,946.54,398.86,1223.22,10000,48,basic linear
1048576,2024.93,1002.66,2546.2,10000,48,basic linear
1,1.46,0.47,2.82,10000,30,binary tree
2,1.42,0.39,2.79,10000,30,binary tree
4,1.37,0.31,2.74,10000,30,binary tree
8,1.37,0.31,2.73,10000,30,binary tree
16,1.38,0.31,2.73,10000,30,binary tree
32,1.73,0.33,2.99,10000,30,binary tree
64,1.65,0.32,2.96,10000,30,binary tree
128,2.61,0.51,4.21,10000,30,binary tree
256,2.74,0.52,4.1,10000,30,binary tree
512,2.78,0.53,4.48,10000,30,binary tree
1024,3.5,0.69,5.56,10000,30,binary tree
2048,4.36,0.89,6.91,10000,30,binary tree
4096,6.8,1.41,10.24,10000,30,binary tree
8192,10.65,1.92,15.67,10000,30,binary tree
16384,24.47,5.31,29.64,10000,30,binary tree
32768,41.21,8.35,50.81,10000,30,binary tree
65536,78.71,15.49,97.73,10000,30,binary tree
131072,151.26,29.01,186.17,10000,30,binary tree
262144,288.71,53.8,349.75,10000,30,binary tree
524288,557.81,104.68,663.31,10000,30,binary tree
1048576,1040.06,214.0,1251.0,10000,30,binary tree
1,0.81,0.23,1.02,10000,10,basic linear
2,0.83,0.25,1.04,10000,10,basic linear
4,0.82,0.24,1.04,10000,10,basic linear
8,0.82,0.24,1.03,10000,10,basic linear
16,0.81,0.23,1.01,10000,10,basic linear
32,0.98,0.29,1.24,10000,10,basic linear
64,0.96,0.28,1.21,10000,10,basic linear
128,1.44,0.41,2.01,10000,10,basic linear
256,1.49,0.45,2.09,10000,10,basic linear
512,1.49,0.47,2.03,10000,10,basic linear
1024,2.17,0.72,3.15,10000,10,basic linear
2048,2.64,0.9,3.9,10000,10,basic linear
4096,3.99,1.33,6.06,10000,10,basic linear
8192,6.23,1.97,9.6,10000,10,basic linear
16384,9.35,4.02,11.93,10000,10,basic linear
32768,17.15,7.22,20.66,10000,10,basic linear
65536,33.67,20.7,37.99,10000,10,basic linear
131072,66.06,50.49,71.15,10000,10,basic linear
262144,132.33,115.51,138.24,10000,10,basic linear
524288,264.0,248.24,271.42,10000,10,basic linear
1048576,489.33,384.78,522.84,10000,10,basic linear
1,1.31,0.29,1.79,10000,18,binary tree
2,1.29,0.28,1.69,10000,18,binary tree
4,1.19,0.27,1.55,10000,18,binary tree
8,1.15,0.26,1.53,10000,18,binary tree
16,1.16,0.27,1.54,10000,18,binary tree
32,1.32,0.27,1.71,10000,18,binary tree
64,1.29,0.27,1.69,10000,18,binary tree
128,1.73,0.4,2.18,10000,18,binary tree
256,1.81,0.42,2.27,10000,18,binary tree
512,1.91,0.4,2.42,10000,18,binary tree
1024,2.42,0.51,3.03,10000,18,binary tree
2048,3.02,0.66,3.82,10000,18,binary tree
4096,5.07,0.96,6.59,10000,18,binary tree
8192,7.51,1.68,10.06,10000,18,binary tree
16384,16.68,5.3,21.05,10000,18,binary tree
32768,25.74,8.33,31.68,10000,18,binary tree
65536,46.76,15.3,56.54,10000,18,binary tree
131072,90.07,29.7,109.04,10000,18,binary tree
262144,169.1,55.92,204.33,10000,18,binary tree
524288,333.49,109.6,401.98,10000,18,binary tree
1048576,669.42,228.39,812.57,10000,18,binary tree
1,1.35,0.43,2.03,10000,18,chain
2,1.35,0.45,2.04,10000,18,chain
4,1.29,0.43,1.95,10000,18,chain
8,1.28,0.43,1.94,10000,18,chain
16,1.29,0.43,1.94,10000,18,chain
32,1.43,0.45,2.22,10000,18,chain
64,1.44,0.45,2.25,10000,18,chain
128,1.85,0.65,2.67,10000,18,chain
256,1.93,0.69,2.8,10000,18,chain
512,2.09,0.75,3.12,10000,18,chain
1024,2.66,0.99,3.81,10000,18,chain
2048,3.62,1.48,5.53,10000,18,chain
4096,4.84,2.08,7.28,10000,18,chain
8192,7.5,3.05,11.36,10000,18,chain
16384,17.55,7.92,23.87,10000,18,chain
32768,27.22,12.91,36.66,10000,18,chain
65536,46.53,24.1,61.96,10000,18,chain
131072,87.53,46.44,115.1,10000,18,chain
262144,167.59,90.3,220.64,10000,18,chain
524288,328.89,177.1,433.51,10000,18,chain
1048576,684.94,364.3,921.27,10000,18,chain
1,0.17,0.09,0.25,10000,2,basic linear
2,0.17,0.09,0.26,10000,2,basic linear
4,0.17,0.09,0.26,10000,2,basic linear
8,0.17,0.09,0.26,10000,2,basic linear
16,0.17,0.09,0.25,10000,2,basic linear
32,0.21,0.09,0.32,10000,2,basic linear
64,0.21,0.1,0.33,10000,2,basic linear
128,0.28,0.13,0.43,10000,2,basic linear
256,0.29,0.15,0.43,10000,2,basic linear
512,0.32,0.14,0.5,10000,2,basic linear
1024,0.39,0.16,0.62,10000,2,basic linear
2048,0.48,0.18,0.77,10000,2,basic linear
4096,0.75,0.34,1.16,10000,2,basic linear
8192,1.2,0.57,1.83,10000,2,basic linear
16384,2.75,2.71,2.78,10000,2,basic linear
32768,4.66,4.56,4.75,10000,2,basic linear
65536,5.88,5.78,5.97,10000,2,basic linear
131072,8.53,8.43,8.64,10000,2,basic linear
262144,13.71,13.61,13.81,10000,2,basic linear
524288,25.97,25.87,26.07,10000,2,basic linear
1048576,56.1,56.09,56.12,10000,2,basic linear
1,2.94,0.66,5.26,10000,44,chain
2,3.44,0.66,6.28,10000,44,chain
4,3.33,0.63,5.56,10000,44,chain
8,3.03,0.65,5.25,10000,44,chain
16,2.94,0.65,5.24,10000,44,chain
32,3.46,0.71,6.06,10000,44,chain
64,3.61,0.76,6.15,10000,44,chain
128,4.53,0.99,7.61,10000,44,chain
256,4.73,1.01,7.83,10000,44,chain
512,5.07,0.98,8.55,10000,44,chain
1024,6.21,1.18,10.49,10000,44,chain
2048,7.63,1.5,13.39,10000,44,chain
4096,11.16,2.2,19.87,10000,44,chain
8192,17.4,3.35,30.87,10000,44,chain
16384,40.7,12.39,66.98,10000,44,chain
32768,61.08,20.29,100.4,10000,44,chain
65536,103.5,38.49,168.45,10000,44,chain
131072,188.57,75.2,306.14,10000,44,chain
262144,366.95,153.58,608.51,10000,44,chain
524288,706.93,299.58,1155.08,10000,44,chain
1048576,1390.0,569.12,2263.7,10000,44,chain
1,1.51,0.24,2.42,10000,22,binary tree
2,1.47,0.24,2.28,10000,22,binary tree
4,1.45,0.26,2.2,10000,22,binary tree
8,1.43,0.25,2.2,10000,22,binary tree
16,1.43,0.24,2.2,10000,22,binary tree
32,1.65,0.29,2.36,10000,22,binary tree
64,1.61,0.28,2.38,10000,22,binary tree
128,2.1,0.47,2.91,10000,22,binary tree
256,2.21,0.5,2.99,10000,22,binary tree
512,2.54,0.48,3.72,10000,22,binary tree
1024,2.87,0.75,4.14,10000,22,binary tree
2048,3.52,0.85,5.18,10000,22,binary tree
4096,5.47,1.35,7.85,10000,22,binary tree
8192,8.55,1.93,12.48,10000,22,binary tree
16384,20.87,5.44,27.27,10000,22,binary tree
32768,33.42,8.43,43.78,10000,22,binary tree
65536,63.51,15.94,85.94,10000,22,binary tree
131072,117.72,29.07,160.69,10000,22,binary tree
262144,226.33,56.45,308.35,10000,22,binary tree
524288,440.28,109.26,585.21,10000,22,binary tree
1048576,836.7,221.8,1118.55,10000,22,binary tree
1,1.5,0.72,2.41,10000,32,default
2,1.49,0.76,2.41,10000,32,default
4,1.48,0.77,2.44,10000,32,default
8,1.45,0.75,2.41,10000,32,default
16,1.62,0.76,2.56,10000,32,default
32,2.07,0.99,3.4,10000,32,default
64,1.85,0.95,3.27,10000,32,default
128,2.91,1.75,4.35,10000,32,default
256,2.82,1.75,4.22,10000,32,default
512,3.17,1.83,4.81,10000,32,default
1024,3.95,2.12,5.87,10000,32,default
2048,5.02,2.42,9.11,10000,32,default
4096,7.18,3.55,12.84,10000,32,default
8192,10.6,5.26,18.82,10000,32,default
16384,19.75,9.71,27.3,10000,32,default
32768,37.02,16.25,52.46,10000,32,default
65536,72.65,31.17,101.28,10000,32,default
131072,144.86,60.18,204.94,10000,32,default
262144,290.47,118.01,414.03,10000,32,default
524288,581.69,234.89,833.75,10000,32,default
1048576,1038.67,428.57,1473.38,10000,32,default
1,2.93,0.52,3.88,10000,36,binary tree
2,2.7,0.46,3.52,10000,36,binary tree
4,2.7,0.44,3.56,10000,36,binary tree
8,2.67,0.45,3.49,10000,36,binary tree
16,3.11,0.45,4.31,10000,36,binary tree
32,3.25,0.49,4.21,10000,36,binary tree
64,3.24,0.47,4.16,10000,36,binary tree
128,4.11,0.72,5.36,10000,36,binary tree
256,4.31,0.76,5.73,10000,36,binary tree
512,4.6,0.76,6.23,10000,36,binary tree
1024,5.58,0.84,7.72,10000,36,binary tree
2048,6.66,1.0,9.48,10000,36,binary tree
4096,9.46,1.5,13.11,10000,36,binary tree
8192,14.06,2.03,19.59,10000,36,binary tree
16384,29.18,5.55,38.62,10000,36,binary tree
32768,49.73,9.23,66.0,10000,36,binary tree
65536,90.78,16.11,120.0,10000,36,binary tree
131072,174.81,29.6,231.42,10000,36,binary tree
262144,335.77,55.74,456.27,10000,36,binary tree
524288,639.19,107.58,841.45,10000,36,binary tree
1048576,1225.79,219.54,1613.68,10000,36,binary tree
1,3.28,0.56,5.72,10000,32,basic linear
2,3.26,0.4,5.8,10000,32,basic linear
4,3.21,0.41,5.74,10000,32,basic linear
8,3.31,0.5,5.92,10000,32,basic linear
16,3.36,0.5,6.03,10000,32,basic linear
32,3.86,0.55,7.49,10000,32,basic linear
64,3.7,0.53,7.05,10000,32,basic linear
128,7.33,0.53,15.77,10000,32,basic linear
256,7.56,0.55,16.35,10000,32,basic linear
512,7.9,0.62,17.31,10000,32,basic linear
1024,10.37,0.74,23.58,10000,32,basic linear
2048,12.37,0.95,28.04,10000,32,basic linear
4096,17.63,1.45,39.73,10000,32,basic linear
8192,26.09,2.23,59.81,10000,32,basic linear
16384,27.74,7.37,41.37,10000,32,basic linear
32768,65.34,20.75,84.99,10000,32,basic linear
65536,143.9,89.69,166.9,10000,32,basic linear
131072,299.17,246.7,323.52,10000,32,basic linear
262144,604.24,550.04,633.26,10000,32,basic linear
524288,1255.39,1191.6,1289.88,10000,32,basic linear
1048576,2279.13,2038.39,2378.12,10000,32,basic linear
1,2.24,0.49,3.07,10000,38,default
2,2.18,0.44,2.94,10000,38,default
4,2.49,0.52,3.51,10000,38,default
8,2.48,0.56,3.46,10000,38,default
16,2.29,0.44,3.13,10000,38,default
32,2.7,0.58,3.68,10000,38,default
64,2.47,0.55,3.34,10000,38,default
128,3.25,1.26,4.32,10000,38,default
256,3.36,1.34,4.44,10000,38,default
512,3.65,1.54,4.78,10000,38,default
1024,4.7,2.24,6.07,10000,38,default
2048,6.12,2.46,10.0,10000,38,default
4096,8.48,4.08,13.7,10000,38,default
8192,12.4,6.6,20.04,10000,38,default
16384,21.63,13.81,28.74,10000,38,default
32768,38.14,23.04,50.77,10000,38,default
65536,78.07,44.65,103.17,10000,38,default
131072,158.15,83.45,219.18,10000,38,default
262144,313.12,162.76,441.81,10000,38,default
524288,632.0,323.79,902.64,10000,38,default
1048576,1206.83,603.46,1725.23,10000,38,default
1,3.43,0.55,4.87,10000,36,basic linear
2,3.4,0.55,4.87,10000,36,basic linear
4,3.36,0.55,4.84,10000,36,basic linear
8,3.61,0.78,5.17,10000,36,basic linear
16,3.41,0.56,4.88,10000,36,basic linear
32,4.54,0.66,7.81,10000,36,basic linear
64,4.33,0.65,7.26,10000,36,basic linear
128,7.71,0.7,15.93,10000,36,basic linear
256,7.93,0.73,16.6,10000,36,basic linear
512,8.29,0.75,17.75,10000,36,basic linear
1024,11.52,0.93,25.88,10000,36,basic linear
2048,13.92,1.11,31.14,10000,36,basic linear
4096,20.49,1.78,45.9,10000,36,basic linear
8192,30.43,2.34,70.24,10000,36,basic linear
16384,30.43,6.62,46.13,10000,36,basic linear
32768,68.08,13.88,91.95,10000,36,basic linear
65536,157.22,70.33,185.89,10000,36,basic linear
131072,330.33,243.8,360.25,10000,36,basic linear
262144,673.03,589.76,705.75,10000,36,basic linear
524288,1386.55,1295.08,1424.23,10000,36,basic linear
1048576,2703.39,2533.8,2778.75,10000,36,basic linear
1,0.84,0.61,1.15,10000,16,default
2,0.91,0.66,1.19,10000,16,default
4,0.81,0.63,1.06,10000,16,default
8,0.76,0.59,0.99,10000,16,default
16,0.75,0.58,0.98,10000,16,default
32,0.89,0.67,1.18,10000,16,default
64,0.86,0.66,1.12,10000,16,default
128,1.45,1.07,1.97,10000,16,default
256,1.5,1.11,2.03,10000,16,default
512,1.62,1.24,2.18,10000,16,default
1024,2.1,1.52,2.81,10000,16,default
2048,2.6,1.85,3.5,10000,16,default
4096,3.96,2.37,5.52,10000,16,default
8192,6.57,3.84,9.28,10000,16,default
16384,14.61,6.48,22.26,10000,16,default
32768,24.25,10.48,36.06,10000,16,default
65536,44.7,18.15,66.95,10000,16,default
131072,86.38,34.37,130.28,10000,16,default
262144,166.83,67.81,251.72,10000,16,default
524288,324.43,139.6,477.51,10000,16,default
1048576,495.25,490.93,501.7,10000,16,default
1,0.46,0.16,0.63,10000,6,default
2,0.48,0.16,0.65,10000,6,default
4,0.47,0.16,0.64,10000,6,default
8,0.46,0.16,0.63,10000,6,default
16,0.46,0.16,0.63,10000,6,default
32,0.56,0.17,0.73,10000,6,default
64,0.5,0.23,0.72,10000,6,default
128,0.74,0.26,0.95,10000,6,default
256,0.77,0.27,0.97,10000,6,default
512,0.85,0.28,1.04,10000,6,default
1024,1.11,0.37,1.34,10000,6,default
2048,1.45,0.8,1.94,10000,6,default
4096,2.24,1.36,3.03,10000,6,default
8192,3.71,1.82,5.4,10000,6,default
16384,6.43,3.61,7.81,10000,6,default
32768,10.87,5.77,13.12,10000,6,default
65536,20.11,14.34,22.34,10000,6,default
131072,39.49,32.6,42.09,10000,6,default
262144,78.37,71.78,81.46,10000,6,default
524288,160.16,151.19,164.25,10000,6,default
1048576,426.4,110.48,637.16,10000,6,default
1,0.59,0.34,0.84,10000,8,basic linear
2,0.6,0.34,0.85,10000,8,basic linear
4,0.59,0.33,0.82,10000,8,basic linear
8,0.58,0.33,0.82,10000,8,basic linear
16,0.59,0.33,0.85,10000,8,basic linear
32,0.75,0.39,1.1,10000,8,basic linear
64,0.72,0.39,1.05,10000,8,basic linear
128,1.22,0.47,1.85,10000,8,basic linear
256,1.26,0.47,1.92,10000,8,basic linear
512,1.3,0.55,1.93,10000,8,basic linear
1024,1.77,0.69,2.72,10000,8,basic linear
2048,2.17,0.82,3.31,10000,8,basic linear
